frame,video_time_s,object,source,confidence,distance_m,closing_speed_mps,ttc_s,lane_overlap,in_lane,risk,action,incident_image
1,0.033,motorcycle,yolo11n,0.7004,7.57,0.0,,0.0,False,SAFE,motorcycle OUTSIDE VEHICLE LANE,
1,0.033,car,yolo11n,0.5666,48.46,0.0,,0.031,False,SAFE,car OUTSIDE VEHICLE LANE,
1,0.033,car,yolo11n,0.5324,45.0,0.0,,1.0,True,SAFE,car AT SAFE DISTANCE,
1,0.033,car,yolo11n,0.5146,51.54,0.0,,0.55,True,SAFE,car AT SAFE DISTANCE,
1,0.033,car,yolo11n,0.5115,54.78,0.0,,1.0,True,SAFE,car AT SAFE DISTANCE,
1,0.033,car,yolo11n,0.4906,21.72,0.0,,0.0,False,SAFE,car OUTSIDE VEHICLE LANE,
1,0.033,person,yolo11n,0.4648,5.38,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
1,0.033,car,yolo11n,0.3642,45.58,0.0,,1.0,True,SAFE,car AT SAFE DISTANCE,
1,0.033,car,yolo11n,0.3152,78.75,0.0,,0.0,False,SAFE,car OUTSIDE VEHICLE LANE,
2,0.067,motorcycle,yolo11n,0.6534,7.67,0.0,,0.0,False,SAFE,motorcycle OUTSIDE VEHICLE LANE,
2,0.067,person,yolo11n,0.633,5.74,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
2,0.067,car,yolo11n,0.5799,50.4,0.0,,0.016,False,SAFE,car OUTSIDE VEHICLE LANE,
2,0.067,car,yolo11n,0.5576,54.78,0.0,,1.0,True,SAFE,car AT SAFE DISTANCE,
2,0.067,car,yolo11n,0.5208,46.67,0.0,,1.0,True,SAFE,car AT SAFE DISTANCE,
2,0.067,car,yolo11n,0.5189,57.27,0.0,,0.991,True,SAFE,car AT SAFE DISTANCE,
2,0.067,car,yolo11n,0.3903,78.75,0.0,,0.0,False,SAFE,car OUTSIDE VEHICLE LANE,
2,0.067,car,yolo11n,0.367,45.0,0.0,,1.0,True,SAFE,car AT SAFE DISTANCE,
4,0.133,motorcycle,yolo11n,0.6025,7.63,0.0,,0.0,False,SAFE,motorcycle OUTSIDE VEHICLE LANE,
4,0.133,person,yolo11n,0.5693,5.71,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
4,0.133,car,yolo11n,0.5662,49.72,0.0,,0.015,False,SAFE,car OUTSIDE VEHICLE LANE,
4,0.133,car,yolo11n,0.5049,57.27,0.0,,0.991,True,SAFE,car AT SAFE DISTANCE,
4,0.133,car,yolo11n,0.4895,46.67,0.0,,1.0,True,SAFE,car AT SAFE DISTANCE,
4,0.133,car,yolo11n,0.4831,54.78,0.0,,1.0,True,SAFE,car AT SAFE DISTANCE,
4,0.133,car,yolo11n,0.3759,45.0,0.0,,1.0,True,SAFE,car AT SAFE DISTANCE,
6,0.2,motorcycle,yolo11n,0.664,7.58,0.675,11.234,0.0,False,SAFE,motorcycle OUTSIDE VEHICLE LANE,
6,0.2,car,yolo11n,0.5872,49.28,8.396,5.869,0.007,False,SAFE,car OUTSIDE VEHICLE LANE,
6,0.2,person,yolo11n,0.4877,5.9,0.0,,0.0,False,SAFE,person OUTSIDE VEHICLE LANE,
6,0.2,car,yolo11n,0.4836,46.09,4.348,10.6,1.0,True,SAFE,car AT SAFE DISTANCE,
6,0.2,car,yolo11n,0.48,57.27,0.0,,0.991,True,SAFE,car AT SAFE DISTANCE,
6,0.2,car,yolo11n,0.4726,53.98,5.997,9.0,1.0,True,SAFE,car AT SAFE DISTANCE,
6,0.2,car,yolo11n,0.368,45.58,0.0,,1.0,True,SAFE,car AT SAFE DISTANCE,
8,0.267,car,yolo11n,0.5654,45.71,4.798,9.527,1.0,True,SAFE,car AT SAFE DISTANCE,
8,0.267,car,yolo11n,0.5505,48.99,7.047,6.952,0.006,False,SAFE,car OUTSIDE VEHICLE LANE,
8,0.267,car,yolo11n,0.4937,56.4,4.348,12.971,0.991,True,SAFE,car AT SAFE DISTANCE,
